"feature","Astro.L1.FGFR3.MT1G","Endo.L2.5.CLDN5","VLMC.L1.3.CYP1B1","Peri.L1.6.MUSTN1","Astro.L1.FGFR3.FOS","Oligo.L4.6.MOBP.COL18A1","OPC.L1.6.MYT1","Micro.L1.6.C1QC","Oligo.L4.6.OPALIN","Astro.L1.6.FGFR3.ETNPPL"
"3.8-1.2",0,0,0,0,0,0,0,0,0,0
"3.8-1.3",0,0,0,0,0,0,0,0,0,0
"3.8-1.4",0,0,0,0,0,0,0,0,0,0
"3.8-1.5",0,0,0,0,0,0,0,0,0,0
"5-HT3C2",0,0,0,0,0,0,0,0,0,0
"A1BG",0,0,0,0,0,0,0,0,0,0
"A1BG-AS1",0,0,0,0,0,0,0,0,0,0
"A1CF",0,0,0,0,0,0,0,0,0,0
"A2M",0.32614678,10.893824,0,3.2466667,0.17160714,0.026473684,0.15575862,10.034494,0.005015898,0.36895028
"A2M-AS1",0,0,0,0,0,0,0,0,0,0
"A2ML1",0.41376147,0.024615385,0,0.0475,0.7483929,0.10894737,0.046941582,0.05129893,0.020206023,0.69174033
"A2MP1",0,0,0,0,0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0,0,0,0,0
"A4GALT",0,0.013269231,0,0.071666665,0,0,0,0,0,0
"A4GNT",0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0
"AAAS",0.14229357,0,0,0,0.30821428,0.08468421,0.014123712,0,0,0.41725138
"AACS",0.11436363,0,0.22375,0,0.025,0.04805263,0.0033448276,0,0,0.10345304
"AACSP1",0,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0,0,0.08991713
"AAED1",0,0,0,0,0,0,0,0,0,0
"AAGAB",0.05761468,0.051346153,0,0,0.14571428,0.07463158,0.017401032,0.027557522,0.017119048,0.15450276
"AAK1",5.1543055,6.607647,1.05625,5.43625,5.2505407,6.193047,6.527165,7.417819,3.08695,5.799191
"AAMDC",0.25513762,0,0.365,0,0.50875,0.82857895,0.08893287,0.0106028365,0.094531,0.5279696
"AAMP",0,0,0,0,0,0,0,0,0,0
"AANAT",0,0,0,0,0,0,0,0,0,0
"AAR2",0,0,0,0,0,0,0,0,0,0
"AARD",0,0,0,0,0,0,0,0,0,0
"AARS",0.13899082,0.06442308,0.2625,0,0.58339286,0.30363157,0.09483649,0.08978648,0.32027844,0.35864642
"AARS2",0,0,0,0,0,0,0,0,0,0
"AARSD1",0,0,0,0,0,0,0,0,0,0
"AASDH",1.6684403,0,0,0,0.8833929,0.31542104,0.3196724,0.0027046264,0.07027027,1.952569
"AASDHPPT",0,0,0,0,0,0,0,0,0,0
"AASS",3.5848625,0,2.2475,0.14708333,3.4325,3.0832632,2.1503103,0,1.5693959,6.976281
"AATBC",0,0,0,0,0,0,0,0,0,0
"AATF",0.104770645,0.012307692,0.7675,0,0.030892856,0.64010525,0.10486207,0.051207814,0.100777164,0.18222375
"AATK",0,0,0,0,0,1.3521053,0,0,1.7337013,0.018744828
"AATK-AS1",0,0,0,0,0,0,0,0,0,0
"ABAT",1.339633,0.09615385,0.0925,0.11416667,1.1705357,0.5078421,1.7035345,0.31721136,0.2696108,2.971884
"ABCA1",1.0895413,0.14057693,6.402,0.15458333,2.2714286,0.14282723,0.5977931,0.15288256,0.07801272,2.0080526
"ABCA10",0,0,10.324,0,0,0,0,0,0,0
"ABCA11P",0,0,0.27875,0,0,0,0.02637931,0,0,0.07266574
"ABCA12",0.0050458717,0,0,0.08541667,0.07339286,0.020157894,0,0,0,0.020137552
"ABCA13",0.062568806,0,0.155,0,0.070357144,0.07694737,0.042363014,0.031797152,0.010190325,0.076813795
"ABCA17P",0.1346789,0.025,0,0,0.2444643,0.2161579,0.097086206,0.014414893,0.08657916,0.23629986
"ABCA2",0.21614678,0,0,0,0.6825,7.7622046,0,0,7.91868,0.109351724
"ABCA3",0.33311927,0.085384615,0,0,0.5083929,0.50178945,0.45334482,0,0.19675417,0.6407044
"ABCA4",0,0,3.46375,0,0,0,0,0,0,0
"ABCA5",0,0.06403846,0.14625,2.0945833,0.019642858,2.2332633,1.586638,0,0.44476947,0
"ABCA6",0,0,8.676,0,0,0.06357895,0,0,0,0
"ABCA7",0,0,0,0,0.15196429,0,0,0,0,0.01160221
"ABCA8",0,0,10.584,0.032083333,0.070892856,8.5819845,0,0,8.403867,0
"ABCA9",0,0,11.112,0.95708334,0,0,0,0,0,0
"ABCA9-AS1",0,0,0,0,0,0,0,0,0,0
"ABCB1",0,11.061176,0,0,0,0,0,0,0,0
"ABCB10",0.117,0,0.19375,0,0.15714286,0.117578946,0.042034484,0,0.019013524,0.19211327
"ABCB10P1",0,0,0,0,0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0,0,0,0,0
"ABCB10P4",0,0,0,0,0,0,0,0,0,0
"ABCB11",0,0,0,0,0,0,0,0,0,0
"ABCB4",0,0,0,0,0,0,0,0,0,0
"ABCB5",0.036486488,0,0,0,0.067857146,0.12352631,0.005283993,0.006589698,0.010166534,0.052803867
"ABCB6",0,0,0,0,0,0,0,0,0,0
"ABCB7",0.36853212,0.19884615,0,0,0.18303572,0.20121053,0.07136207,0.038807828,0.025115354,0.1711326
"ABCB8",0,0,0,0,0,0,0,0,0,0
"ABCB9",0.29091743,0.052115384,0.145,0.17958333,0.5714286,0.36675394,0.06879932,0.04927176,0.14025438,0.5045028
"ABCC1",0.78192663,0.4773077,0.67875,0.08541667,0.98660713,2.0019841,0.5394492,0.6531028,0.5174127,1.3569502
"ABCC10",0,0,0,0,0,0,0,0,0,0
"ABCC11",0,0,0,0,0,0,0,0,0,0
"ABCC12",0,0,0,0,0,0,0,0,0,0
"ABCC13",0,0,0,0,0,0,0,0,0,0
"ABCC2",0,0,0,0,0.03857143,0,0,0,0,0
"ABCC3",0,0,0,0,0,0,0,0,0,0
"ABCC4",2.2951388,0.44846153,0.285,0.3344,4.5002704,0.5211053,0.4186919,8.554198,0.35358953,0.7170166
"ABCC5",0.47880733,0.09711538,1.075,0.045,0.54321426,1.614579,1.6130121,0.27692172,0.43210024,0.7099033
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0
"ABCC6",0,0,0,0,0,0,0,0,0,0
"ABCC6P1",0,0,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0.14642857,0,0.047,0,0,0
"ABCC9",0.28272727,0,0,2.7945833,0.13928571,0,0,0,0,0.71472377
"ABCD1",0,0,0,0,0,0,0,0,0,0
"ABCD1P1",0,0,0,0,0,0,0,0,0,0
"ABCD1P2",0,0,0,0,0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0,0,0,0,0
"ABCD2",0.18238533,0,0,0,0.28589284,0,0,0,0,2.5166988
"ABCD3",0.7504587,0.095,4.638,0.020833334,0.4867857,0.7717895,0.7477931,0,0.21438345,1.0725
"ABCD4",0.7699091,0,0.45,0,0.5223214,0.20647368,0.011551724,0,0.0049761524,0.5062431
"ABCE1",0,0,0,0,0,0.122263156,0,0,0,0
"ABCF1",0.05348624,0,0,0.08083333,0.21303572,0.027736843,0,0,0.023595238,0.12700276
"ABCF2",0,0,0,0,0,0,0,0,0,0
"ABCF2P1",0,0,0,0,0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0,0,0,0,0
"ABCF3",0,0,0,0,0,0,0,0,0,0
"ABCG1",0,0,0,0,0,0.112894736,0.39827585,0,1.1611297,0
"ABCG2",0.14854546,10.336,0.43,0.14,0.29596493,0.37610525,0.18309811,0.30124334,0.2124862,0.2634254
"ABCG4",0,0,0,0,0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0
"ABHD1",0,0,0,0,0,0,0,0,0,0
"ABHD10",0,0,0,0,0,0,0,0,0,0
"ABHD11",0,0,0,0,0,0,0,0,0,0
"ABHD11-AS1",0,0,0,0,0,0,0,0,0,0
"ABHD12",0.47036698,0.32923076,0.33375,0.31625,0.6005357,3.6253967,1.0957931,0.93603206,0.7484009,0.52455175
"ABHD12B",0,0,0,0,0,0,0,0,0,0
"ABHD13",0,0,0,0,0,0,0,0,0,0
"ABHD14A",0,0,0,0,0,0,0,0,0,0
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0,0
"ABHD14B",0,0,0,0,0,0,0,0,0,0
"ABHD15",0,0,0,0,0,0,0,0,0,0
"ABHD16A",0,0,0,0,0,0.008842105,0,0,0,0
"ABHD16B",0,0,0,0,0,0,0,0,0,0
"ABHD17A",0,0,0,0,0,0.094789475,0,0,0,0
"ABHD17AP1",0,0,0,0,0,0,0,0,0,0
"ABHD17AP3",0,0,0,0,0,0,0,0,0,0
"ABHD17AP4",0,0,0,0,0,0,0,0,0,0
"ABHD17AP5",0,0,0,0,0,0,0,0,0,0
"ABHD17AP6",0,0,0,0,0,0,0,0,0,0
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0
"ABHD17B",0.010642202,0,0.1675,0,0.12857144,1.4218421,0.07665517,0,1.1664678,0.102734804
"ABHD17C",0,0,0,0,0.030178571,0,0,0,0,0.066275865
"ABHD2",2.248532,0.3271698,0.2475,0.59833336,1.6975,0.35010526,8.321912,0.07277087,0.52505964,2.5981078
"ABHD3",1.3279817,0.5830769,1.042,0.1076,0.57285714,0.114293195,0.11701724,0.4903203,0.07451074,1.3866345
"ABHD4",0,0,0,0,0,0,0,0,0,0
"ABHD5",0,0,0,0,0,0.3128421,0,0,0,0
"ABHD6",0.058073394,0.08377358,0,0,0.30035713,1.6747894,0.17156896,0,1.0122796,0.08631724
"ABHD8",0,0,0,0,0,0,0,0,0,0
"ABI1",6.6422224,0.13326924,0.0825,0,7.0624323,0.2903684,1.3995353,1.134405,0.090262115,6.965747
"ABI1P1",0,0,0,0,0,0,0,0,0,0
"ABI2",4.1338887,0.2126923,2.12125,0.4575,4.2051353,1.6648421,1.7089827,0.3425532,0.6749881,5.0100822
"ABI3",0,0,0,0,0,0,0,0,0,0
"ABI3BP",0.07568807,0,0,0.025833333,0.56785715,0.14596859,0,0.006856128,0.0016945107,0.06688276
"ABL1",1.15,0.3603846,2.982,0.31166667,2.1905406,2.181316,0.7337931,0.5133215,1.0535135,2.616901
"ABL2",0.7775229,0.6682692,0.16875,0.1125,1.005,1.2532105,1.0778657,0.3232918,0.36774862,1.3399724
"ABLIM1",10.449452,9.725,9.05,0.47416666,10.358378,0.57221055,0.8391207,0.5104982,0.52722,10.157706
"ABLIM2",0.1293578,0,0.1775,0,0.16785714,0.31494737,0.0762931,0.009467141,0.08313741,0.2978453
"ABLIM3",0.3711009,1.8796154,0.1725,0,0.47464284,0.24521053,1.0802413,0,0,0.0806069
"ABO",0,0,0,0,0,0,0,0,0,0
"ABR",7.2195835,1.6678846,0.7925,0.255,8.607436,0.43189475,0.9857586,8.473555,0.36413822,7.2226143
"ABRA",0,0,0,0,0,0,0,0,0,0
"ABRACL",0,0,0,0,0,0,0,0,0,0
"ABT1",0,0,0,0,0,0,0,0,0,0
"ABT1P1",0,0,0,0,0,0,0,0,0,0
"ABTB1",0,0,0,0.44666666,0,0,0,0,0,0
"ABTB2",1.0451376,0.23211539,1.812,0.16541667,1.9097297,5.632381,0.3650862,0.14447787,1.3864149,0.4149033
"ACAA1",0,0,0,0,0.72642857,0,0,0,0,0.0034482758
"ACAA2",0,0,0,0,0,0,0,0,0,0
"ACACA",6.9230556,1.3552941,1.176,0.75416666,6.1145945,6.219291,3.9003618,0.85848755,3.7787008,6.332872
"ACACB",6.2193055,0.8321154,0.56,0.07791667,6.5432434,0.45726317,0.3008793,0.11824156,0.30325913,7.093996
"ACAD10",0.38577983,0.22519231,0.62375,0,0.73982143,0.39052632,0.19943103,0.14225979,0.1910873,0.7775138
"ACAD11",0,0,0,0,0,0,0,0,0,0
"ACAD8",0,0,0,0,0,0,0,0,0,0
"ACAD9",0.16770642,0.024038462,0.31125,0.02875,0.29392856,0.15994737,0.12160069,0.1258363,0.1004054,0.25609654
"ACADL",0,0,0.44625,0,0,0,0,0,0,0
"ACADM",0.30458716,0,0,0,0.010535714,0.22205263,0.13449225,0.0055417405,0,0.3397652
"ACADS",0,0,0,0,0,0,0,0,0,0
"ACADSB",0.13954128,0,0,0,0.84732145,0.4303158,0.017646048,0,0.040501192,0.6335359
"ACADVL",6.627397,0.14134616,0,0,6.668919,0.21094736,0.038310345,0,0.0016626889,7.3607264
"ACAN",0,0,0,0,0,0,0,0,0,0
"ACAP1",0,0,0,0,0,0,0,0,0,0.0013950276
"ACAP2",5.987639,4.522941,4.418,2.07,5.622895,4.371508,5.008036,6.90891,1.6454164,6.9691496
"ACAP3",0.10238532,0,0,0,0.42017856,0.47481674,2.972835,0,0.96311855,0.26197243
"ACAT1",0.19036697,1.1484616,0.1475,0.255,0.29053572,0.27710527,0.12070568,0.07001779,0.14368546,0.29313534
"ACAT2",0,0,0,0,0.24821429,0,0,0,0,0
"ACBD3",0.2687156,0.27365384,1.138,0.05666667,0.32232141,0.4232461,0.24051724,0.24356383,0.28344992,0.42600828
"ACBD4",0,0,0,0,0,0,0,0,0,0.050262067
"ACBD5",0.057706423,0,0.0625,0,0.10125,0.14136842,0.022396551,0.0075266906,0.033134446,0.111237966
"ACBD6",1.675688,0.945,0.275,0.50916666,2.067857,2.1796315,1.483069,0.26439503,0.6154813,1.3502901
"ACBD7",0.049174313,0,0,0,0.13839285,0,0,0,0,0.47465566
"ACCS",0,0,0,0,0,0,0,0,0,0
"ACCSL",0,0,0,0,0,0.021315789,0,0,0,0
"ACD",0,0,0,0,0,0,0,0,0,0
"ACE",0,0,0,0,0,0,0,0,0,0
"ACE2",0,0,0,0,0,0,0,0,0,0
"ACE3P",0,0,0,0,0,0,0,0,0,0
"ACER1",0.25770643,0.17245284,0.405,0.096666664,0.31339285,0.23352632,0.17806175,0.24343362,0.18782093,0.34320936
"ACER2",0,1.1778846,0,0,0,0,0,0,0,0
"ACER3",1.793211,0.34576923,1.808,0.087916665,1.3323214,7.7238097,2.868709,0.29683274,7.334643,2.0355663
"ACHE",0,0,0,0,0,0,0,0,0,0
"ACIN1",1.1968807,0.16942307,0.28125,0.23416667,1.7826786,1.4546316,0.61684483,0.6843416,0.54369134,1.9979973
"ACKR1",0,0,0,0,0,0,0,0,0,0
"ACKR2",0,0,0,0,0.029464286,0,0,0,0,0.010289655
"ACKR3",0,0,0,0,0.027321428,0,0,0,0,0
"ACKR4",0,0,0,0,0,0,0,0,0,0
"ACLY",0.372,0.18673077,0.28875,0.29416665,0.28214285,0.25329843,0.13017242,0.13405694,0.13347344,0.2974518
"ACMSD",0,0,0,0,0,0,0,0,0,0
"ACO1",0.49311927,0.050769232,0.1075,0,1.1691228,0.107,0.030706897,0,0,1.0765884
"ACO2",0.081891894,0,0,0,1.0617857,0.06426316,0,0,0,0.3969475
"ACOT1",0,0,0,0,0,0,0,0,0,0
"ACOT11",5.5469446,0,0.0825,0,6.1113515,0.1440625,0.06298969,0,0.008228753,6.168755
"ACOT12",0,0,0,0,0,0,0,0,0,0
"ACOT13",3.0027778,2.9688234,3.254,2.97375,3.405946,3.1671653,2.7111795,3.294415,3.0713317,3.3532577
"ACOT2",0,0,0,0,0,0,0,0,0,0
"ACOT4",0,0,0,0,0,0,0,0,0,0
"ACOT6",0,0,0,0,0,0,0,0,0,0
"ACOT7",0.17165138,0.109038465,0.33625,0.0525,0.18482143,0.56957895,0.3287952,0.07654804,0.1810024,0.25392264
"ACOT8",0,0,0,0,0,0,0,0,0,0
"ACOT9",0.15577982,0.11826923,0.13125,0.08625,0.31678572,0.046789475,0.06732759,0.071205676,0.03790808,0.26125517
"ACOX1",0.21376146,0.22788462,0.2825,0.026666667,0.28535715,0.13078947,0.08242685,0.033985764,0.061597776,0.33495173
"ACOX2",0,0,0.4325,0,0,0,0,0,0,0.05877072
"ACOX3",0.03330275,0,0.0925,0,0.09357143,0.008631579,0.00806175,0,0,0.051434483
"ACOXL",0.0048623853,0.012115384,0,0,0.11642857,0.06763158,0.03216495,0.022925531,0.010151153,0.094468966
"ACP1",0,0,0,0,0,0,0,0,0,0
"ACP2",0,0,0,0,0,0,0,0,0,0
"ACP5",0,0,0,0,0,0,0,0,0,0
"ACP6",0.6199083,0,0,0,0.43607143,0,0,0,0,2.2336326
"ACPP",0,0,0,0,0,0,0,0,0,0
"ACPT",0,0,0,0,0,0,0,0,0,0
"ACR",0,0,0,0,0,0,0,0,0,0
"ACRBP",0,0,0,0,0,0,0,0,0,0
"ACRC",0,0,0,0,0,0,0,0,0,0.00058011047
"ACRV1",0,0,0,0,0,0,0,0,0,0
"ACSBG1",6.3661113,0,0,0,2.1660714,0.447,0,0,0,7.9936514
"ACSBG2",0,0,0,0,0,0,0,0,0,0
"ACSF2",0.10302752,0,0,0,0.38285714,0,0,0,0,0.37196133
"ACSF3",0,0,0,0,0,0,0,0,0,0
"ACSL1",0.030733945,0,0,0,0.060714286,1.6811053,0,0,0.5143516,0
"ACSL3",2.2551377,2.5086539,2.18875,1.6495833,1.22625,1.0358948,2.4637413,0.043451957,0.66820204,2.9332182
"ACSL4",0.07036697,0,0.25125,0.11875,0.077321425,2.8463683,0.23434483,0.1941459,1.0704054,0.16450413
"ACSL5",0,0.23519231,0,0,0,0,0,0,0,0
"ACSL6",7.59,0,0,0,5.6694593,0,0.30227587,0,0,8.19376
"ACSM1",0,0,0,0,0,0,0,0,0,0
"ACSM2A",0,0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0
"ACSM3",0,0,0,0,0,0,0,0,0,0
"ACSM4",0,0,0,0,0,0,0,0,0,0
"ACSM5",0,0,0,0,0,0,0,0,0,0
"ACSM5P1",0,0,0,0,0,0,0,0,0,0
"ACSM6",0,0,0,0,0,0,0,0,0,0
"ACSS1",7.9486113,0,0,0,7.2035136,0,0.012741379,0.004875445,0.0016467781,8.599339
"ACSS2",0.19412844,0.066923074,0,0.04625,0.41482142,1.3671579,0,0.01336299,1.4429196,0.20991713
"ACSS3",2.3982568,0,2.815,0.59833336,3.0348215,0,0.013637931,0,0,5.905859
"ACTA1",0,0,0,0,0,0,0,0,0,0
"ACTA2",0,0,0,0.0525,0,0,0,0,0,0
"ACTA2-AS1",0,0,0,0,0,0,0,0,0,0
"ACTB",2.1819265,3.7217307,2.61,10.071875,0.99035716,7.201496,2.3274355,3.4683864,3.7821717,1.5294751
"ACTBL2",0,0,0,0,0,0,0,0,0,0
"ACTBP1",0,0,0,0,0,0,0,0,0,0
"ACTBP10",0,0,0,0,0,0,0,0,0,0
"ACTBP11",0,0,0,0,0,0,0,0,0,0
"ACTBP12",0,0,0,0,0,0,0,0,0,0
"ACTBP13",0,0,0,0,0,0,0,0,0,0
"ACTBP14",0,0,0,0,0,0,0,0,0,0
"ACTBP2",0,0,0,0.46,0,0.103717275,0,0.023024911,0.0328753,0
"ACTBP3",0,0,0,0,0,0,0,0,0,0
"ACTBP4",0,0,0,0,0,0,0,0,0,0
"ACTBP6",0,0,0,0,0,0,0,0,0,0
"ACTBP7",0,0,0,0,0,0,0,0,0,0
"ACTBP8",0,0,0,0.23875,0,0,0,0,0,0
"ACTBP9",0,0,0,0.025416667,0,0,0,0,0,0
"ACTC1",0,0,0,0,0,0,0,0,0,0
"ACTG1",0.736055,0.36807692,0,1.8766667,0.48464286,0.36905262,0.15931034,0,0.020310262,0.38174033
"ACTG1P1",0,0,0,0,0,0,0,0,0,0
"ACTG1P10",0,0,0,0,0,0,0,0,0,0
"ACTG1P11",0,0,0,0,0,0,0,0,0,0
"ACTG1P12",0,0,0,0,0,0,0,0,0,0
"ACTG1P13",0,0,0,0,0,0,0,0,0,0
"ACTG1P14",0,0,0,0,0,0,0,0,0,0
"ACTG1P15",0,0,0,0,0,0,0,0,0,0
"ACTG1P16",0,0,0,0,0,0,0,0,0,0
"ACTG1P17",0,0,0,0,0,0,0,0,0,0
"ACTG1P18",0,0,0,0,0,0,0,0,0,0
"ACTG1P19",0,0,0,0,0,0,0,0,0,0
"ACTG1P2",0,0,0,0,0,0,0,0,0,0
"ACTG1P20",0,0,0,0,0,0,0,0,0,0
"ACTG1P21",0,0,0,0,0,0,0,0,0,0
"ACTG1P22",0,0,0,0,0,0,0,0,0,0
"ACTG1P23",0,0,0,0,0,0,0,0,0,0
"ACTG1P24",0,0,0,0,0,0,0,0,0,0
"ACTG1P3",0,0,0,0,0,0,0,0,0,0
"ACTG1P4",0,0,0,0,0,0,0,0,0,0
"ACTG1P9",0,0,0,0,0,0,0,0,0,0
"ACTG2",0,0,0,0,0,0,0,0,0,0
"ACTL10",0,0,0,0,0,0,0,0,0,0
"ACTL6A",0,0,0,0,0,0,0,0,0,0
"ACTL6B",0,0,0,0,0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0,0,0,0,0
"ACTN1",0,0.104423076,0.94,0.102916665,0,0,0,0,0,0.03378267
"ACTN1-AS1",0,0,0,0,0,0,0,0,0,0
"ACTN2",0.1866055,0.13307692,0.0925,0,0.7458929,7.2114286,0.1675862,0,0.35886237,0.06415173
"ACTN3",0,0,0,0,0,0,0,0,0,0
"ACTN4",0.10926606,2.740577,0.825,1.2983333,0.11803571,1.5181053,0.1235,0.025541741,0.9764519,0.18998618
"ACTN4P1",0,0,0,0,0,0,0,0,0,0
"ACTN4P2",0,0,0,0,0,0,0,0,0,0
"ACTR10",0.5065138,0.026538461,0.3275,0.69458336,0.26142856,0.78226316,0.20894827,0.07346359,0.14350836,0.5483702
"ACTR1A",0,0,0,0,0,0,0,0,0,0
"ACTR1B",0,0,0,0,0,0,0,0,0,0
"ACTR2",0.3910909,1.2286538,1.926,0.275,0.7555357,0.9353158,0.22067241,2.4683273,0.27457437,0.48654696
"ACTR3",0.05174312,0.16788462,0.715,0.027916666,0.07107143,0.88305265,0.47489655,1.1075267,0.11369133,0.2314207
"ACTR3B",0.79284406,0.4348077,0.2025,0.19708334,0.9664286,0.6513542,0.58261615,0.38760638,0.4321922,1.1473067
"ACTR3BP1",0,0,0,0,0,0,0,0,0,0
"ACTR3BP2",0,0,0,0,0,0,0,0,0,0
"ACTR3BP3",0,0,0,0,0,0,0,0,0,0
"ACTR3BP4",0,0,0,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0,0,0,0,0
"ACTR3BP6",0,0,0,0,0,0,0,0,0,0
"ACTR3C",5.818904,0.15903845,0.37375,0.13791667,7.7764864,1.1993158,6.29401,0.25255772,0.65980124,3.9722521
"ACTR3P1",0,0,0,0,0,0,0,0,0,0
"ACTR3P2",0,0,0,0,0,0,0,0,0,0
"ACTR3P3",0,0,0,0,0,0,0,0,0,0
"ACTR5",0,0,0,0,0,0,0,0,0,0
"ACTR6",0,0,0,0,0.06946429,0,0,0,0,0.03475138
"ACTR6P1",0,0,0,0,0,0,0,0,0,0
"ACTR8",0,0,0,0,0,0,0,0,0,0
"ACTRT1",0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0
"ACTRT3",0,0,0,0,0,0,0,0,0,0
"ACVR1",0.41348624,6.004706,2.178,0.57375,0.75142854,0.42289475,0.43006873,0.43035588,0.3188474,0.5345994
"ACVR1B",0,0,0,0,0,0,0,0,0,0
"ACVR1C",0.043944955,0,0,0,0.010892857,0.17615789,0,0,0.08231379,0.11800824
"ACVR2A",0,0,0.0925,0.04875,0,0,0.055206895,0,0,0
"ACVR2B",0,0,0,0,0,0,0,0,0,0
"ACVR2B-AS1",0,0,0,0,0,0,0,0,0,0
"ACVRL1",0,0.3826923,0,0,0,0,0,0,0,0
"ACY1",0,0,0,0,0,0,0,0,0,0
"ACY3",0,0,0,0,0,0,0,0,0,0
"ACYP1",0.03238532,0,0,0,0,0.21136843,0,0,0.016597774,0.036063537
"ACYP2",2.4270642,0.15326923,1.8,0.27333334,3.529189,4.3138094,0.692069,0.23218472,1.981265,3.9801245
"ADA",0,0,0,0,0,0,0,0,0,0.032593105
"ADAD1",0,0,0,0,0,0,0,0,0,0
"ADAD1P1",0,0,0,0,0,0,0,0,0,0
"ADAD1P2",0,0,0,0,0,0,0,0,0,0
"ADAD2",0,0,0,0,0,0,0,0,0,0
"ADAL",0.51715595,0,0,0,0.030178571,0.027842104,0,0,0,1.1523342
"ADAM10",1.0131192,2.9690385,0.52,0.58208334,1.1094643,7.5395236,0.9349138,4.5499196,5.5643826,1.4936602
"ADAM11",0,0,0,0,0,0,0,0,0,0
"ADAM12",0.057706423,0,0.0925,0,0.2475,0.39989474,1.471793,0,0.10260939,0.38892266
"ADAM15",0,0.32173076,0,0,0,0,0,0,0,0
"ADAM17",0.11724771,0,0,0.12416667,0.010535714,0.4194241,0.044827588,0.025160143,0.07739061,0.084275864
"ADAM18",0,0,0,0,0,0,0,0,0,0
"ADAM19",0,0,1.505,0,0,0.30573684,0.005652921,0,0.056801908,0
"ADAM1A",0,0,0,0,0,0,0,0,0,0
"ADAM1B",0,0,0,0,0,0,0,0,0,0
"ADAM2",0,0,0,0,0,0,0,0,0,0
"ADAM20",0,0,0,0,0,0,0,0,0,0
"ADAM20P1",0,0,0,0,0,0,0,0,0,0
"ADAM20P2",0,0,0,0,0,0,0,0,0,0
"ADAM20P3",0,0,0,0,0,0,0,0,0,0
"ADAM21",0,0,0,0,0,0,0,0,0,0
"ADAM21P1",0,0,0,0,0,0,0,0,0,0
"ADAM22",0.9202752,0.1725,1.735,0.155,1.3483928,2.0167015,2.7481897,0.07751773,0.80445504,0.44122928
"ADAM23",0.120091744,0,0,0.025416667,0.20140351,0.13457894,1.953907,0,0.029562451,0.29888275
"ADAM24P",0,0,0,0,0,0,0,0,0,0
"ADAM28",0,0,0,0,0,0,0,9.11464,0,0
"ADAM29",0,0,0,0,0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0,0,0,0,0
"ADAM32",0.024818182,0,0.155,0,0.118392855,0.08436842,0.05098276,0,0,0.10657931
"ADAM33",0,0,7.552,2.5125,0,0,0,0,0,0
"ADAM3A",0,0,0,0,0,0,0,0,0,0
"ADAM3B",0,0,0,0,0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0,0,0,0,0
"ADAM8",0,0,0,0,0,0,0,0,0,0
"ADAM9",0.015181818,0.026538461,0,0,0.035892855,0.13636842,0.10165517,0.17882562,0.013402225,0.06835862
"ADAMDEC1",0,0,0,0,0,0,0,0,0,0
"ADAMTS1",0,0,0,0,0,0,0,0,0,0
"ADAMTS10",0.67055047,0.56173074,2.088,1.8766667,0.4869643,0.45284212,0.41082758,0.75991106,0.3721111,1.3871132
"ADAMTS12",0.14063637,0,10.34,0,0.3231579,0.16557895,0.073762886,0.075559504,0.020588703,0.18183702
"ADAMTS13",0,0,0,0,0.04142857,0,0,0,0,0.05346685
"ADAMTS14",0,0,0,0,0,0.17110527,0,0,0.131607,0
"ADAMTS15",0,0,0,0,0,0,0,0,0,0
